SubplotID,fraction,Species,bag_no,BagTare_g,BagMass_g,Year,Notes
A04W,leaf,acsa,,7.2,11.9,2018,
A04W,leaf,fagr,,7.2,14.5,2018,
A04W,leaf,fagr,,7.2,12.7,2018,
A04W,leaf,pogr,,7.3,17.5,2018,
A04W,leaf,pogr,,7.2,21.2,2018,
A04W,leaf,pogr,,7.2,21.5,2018,
A04W,leaf,pogr,,7.3,21.1,2018,
A04W,leaf,pogr,,7.2,19.2,2018,
A04W,leaf,pogr,,7.3,21.9,2018,
A04W,leaf,acsa,,7.2,14.1,2018,
A04W,leaf,acsa,,7.3,12.5,2018,
A04W,leaf,acsa,,7.2,16,2018,
A04W,leaf,acru,,7.2,16.9,2018,
A04W,leaf,acru,,7.2,16.7,2018,
A04W,leaf,acru,,7.2,14.9,2018,
A04W,leaf,acru,,7.1,22.7,2018,
A04W,leaf,acru,,7.1,25.1,2018,
A04W,leaf,pogr,,7.1,31.5,2018,
A04W,leaf,pogr,,7.2,15.4,2018,
A04W,leaf,fagr,,7.2,14,2018,
A04W,leaf,quru,,7.2,12.3,2018,
A04W,leaf,bepa,,7.1,7.7,2018,
A04W,leaf,pogr,,7.2,13.3,2018,
A04W,leaf,acsa,,7.1,15.7,2018,
A04W,leaf,acsa,,7.1,17.8,2018,
A04W,leaf,acsa,,7.1,16.1,2018,
A04W,leaf,acsa,,7.1,17.4,2018,
A04W,misc,,,7.1,21.5,2018,
A04W,fwd,,,7.2,50,2018,
A04E,leaf,pogr,,7.2,31.5,2018,
A04E,leaf,acsa,,7.2,22.6,2018,
A04E,leaf,acru,,7.2,27.1,2018,
A04E,leaf,fagr,,7.3,18.8,2018,
A04E,leaf,acsa,,22.9,75.1,2018,
A04E,leaf,acsa,,23.2,55.6,2018,
A04E,leaf,pogr,,23,44,2018,
A04E,leaf,fagr,,22,39.6,2018,
A04E,leaf,acru,,21.9,42.2,2018,
A04E,leaf,pogr,,22.9,117.5,2018,
A04E,leaf,potr,,7.2,12,2018,
A01E,leaf,quru,,6.9,17.7,2018,
A01E,leaf,acpe,,7.2,14.7,2018,
A01E,leaf,pogr,,7,9.9,2018,
A01E,leaf,fagr,,21.9,57.6,2018,
A01E,leaf,acru,,21.9,34.7,2018,
A01E,leaf,acsa,,22,71.5,2018,
A01E,leaf,pogr,,22.2,149.3,2018,
A01E,misc,,,7.3,14.1,2018,
A01E,fwd,,,7.2,32,2018,
A03W,leaf,acru,,15.2,30.7,2018,
A03W,leaf,fagr,,15.2,20.7,2018,
A03W,leaf,pogr,,15.1,19.8,2018,
A03W,leaf,quru,,7.2,8.2,2018,
A03W,leaf,acsa,,15.3,19,2018,
A03W,fwd,,,7.2,13.6,2018,
A03W,misc,,,7.2,8.7,2018,
A03W,leaf,acsa,,22.1,39.3,2018,
A03W,leaf,quru,,7.2,17.4,2018,
A03W,leaf,potr,,6.9,8.5,2018,
A03W,fwd,,,7.3,32.4,2018,
A03W,misc,,,7.2,12,2018,
A03W,leaf,bepa,,6.9,8,2018,
A03W,leaf,fagr,,22.5,58.7,2018,
A03W,leaf,pogr,,22,109.5,2018,
A03W,leaf,acpe,,15.2,25,2018,
A03W,leaf,acru,,15.4,33.6,2018,
B01W,leaf,quru,,20.8,49.5,2018,
B01W,leaf,pogr,,21.8,104.6,2018,
B01W,leaf,fagr,,21.6,59.2,2018,
B01W,leaf,acpe,,21.4,26.2,2018,
B01W,leaf,potr,,6.9,9.2,2018,
B01W,leaf,bepa,,6.9,7.6,2018,
B01W,leaf,amel,,6.9,7.7,2018,
B01W,leaf,acru,,21.9,107.4,2018,
B01W,misc,,,6.9,13.9,2018,
B01W,fwd,,,7,13.8,2018,
B02W,misc,,,0,0.1,2018,
B02W,leaf,acru,,21.4,69.6,2018,
B02W,leaf,pogr,,21.6,131.9,2018,
B02W,leaf,acsa,,15.1,28.5,2018,
B02W,leaf,quru,,21.4,28.9,2018,
B02W,leaf,fagr,,21.1,63.8,2018,
B02W,leaf,bepa,,7,10.2,2018,
B02W,leaf,potr,,7,8.1,2018,
B02W,misc,,,6.9,12.7,2018,
B02W,fwd,,,7,21.4,2018,
B02E,leaf,acru,,21.5,94.7,2018,
B02E,leaf,pogr,,21.7,126.5,2018,
B02E,leaf,quru,,15,27,2018,
B02E,leaf,acsa,,15,14.5,2018,
B02E,leaf,fagr,,21.4,62,2018,
B02E,leaf,bepa,,6.9,27.8,2018,
B02E,leaf,potr,,6.9,8,2018,
B02E,fwd,,,6.9,19.3,2018,
B02E,misc,,,6.9,12.4,2018,
B03W,leaf,quru,,15.4,20.7,2018,
B03W,leaf,amel,,7,8.2,2018,
B03W,leaf,potr,,6.9,7.8,2018,
B03W,leaf,acpe,,7,10.2,2018,
B03W,leaf,bepa,,7,12.1,2018,
B03W,leaf,acru,,21,72.3,2018,
B03W,leaf,fagr,,21,32.4,2018,
B03W,leaf,pogr,,20.8,116.5,2018,
B03W,fwd,,,7,116.3,2018,
B03W,misc,,,7,11.7,2018,
B01E,leaf,acru,,22.4,95.4,2018,
B01E,leaf,pogr,,22.2,127.2,2018,
B01E,leaf,quru,,22.3,67.1,2018,
B01E,leaf,fagr,,22.1,34.2,2018,
B01E,leaf,potr,,6.9,7.1,2018,
B01E,leaf,bepa,,6.9,7.1,2018,
B01E,leaf,acsa,,6.9,11.7,2018,
B01E,leaf,amel,,6.9,7.5,2018,
B01E,misc,,,6.9,9.7,2018,
B01E,fwd,,,6.9,23.1,2018,
B03E,leaf,bepa,,7,9.8,2018,
B03E,leaf,acru,,21.1,138.8,2018,
B03E,leaf,quru,,15.4,34.4,2018,
B03E,leaf,amel,,7,10.2,2018,
B03E,leaf,fagr,,20.5,38.1,2018,
B03E,leaf,pogr,,20.4,87.4,2018,
B03E,leaf,acpe,,7,7.7,2018,
B03E,leaf,potr,,7,27.4,2018,
B03E,misc,,,6.9,12.4,2018,
B03E,fwd,,,7,15.7,2018,
B04W,leaf,pogr,,22,135,2018,
B04W,leaf,acru,,22.1,120.3,2018,
B04W,leaf,potr,,6.9,12.4,2018,
B04W,leaf,fagr,,22.3,40.2,2018,
B04W,leaf,amel,,15.2,16.7,2018,
B04W,leaf,acpe,,15.3,16.1,2018,
B04W,leaf,bepa,,15.2,35.8,2018,
B04W,leaf,quru,,15.4,37.2,2018,
B04W,leaf,acsa,,7,11,2018,
B04W,misc,,,7,12.2,2018,
B04W,fwd,,,6.9,21.9,2018,
B04E,leaf,pogr,,22.1,175.8,2018,
B04E,leaf,acru,,22.1,104.9,2018,
B04E,leaf,acsa,,15.4,15.5,2018,
B04E,leaf,acpe,,15.4,16,2018,
B04E,leaf,quru,,22.2,40.7,2018,
B04E,leaf,fagr,,22.2,43.8,2018,
B04E,leaf,amel,,8.4,10.1,2018,
B04E,leaf,potr,,8.4,10.8,2018,
B04E,leaf,bepa,,8.4,10,2018,
B04E,misc,,,8.4,13.5,2018,
B04E,fwd,,,8.4,38,2018,
C01W,leaf,pogr,,22.1,65.9,2018,
C01W,leaf,bepa,,8.4,11.7,2018,
C01W,leaf,fagr,,15.1,21,2018,
C01W,leaf,quru,,22,104.2,2018,
C01W,leaf,quru,,22.1,83.2,2018,
C01W,leaf,acru,,22.2,35.7,2018,
C01W,leaf,pire,,8.4,9.5,2018,
C01W,leaf,pist,,8.5,11.2,2018,
C01W,misc,,,8.5,28.5,2018,
C01W,fwd,,,8.5,10.5,2018,
C01E,leaf,pogr,,22,90.9,2018,
C01E,leaf,quru,,22.1,111.8,2018,
C01E,leaf,quru,,22.2,42.3,2018,
C01E,leaf,acru,,22,39,2018,
C01E,leaf,bepa,,8.4,17.9,2018,
C01E,leaf,fagr,,15.3,28.4,2018,
C01E,leaf,pire,,8.3,11.6,2018,
C01E,leaf,potr,,8.4,8.5,2018,
C01E,leaf,pist,,8.4,13.1,2018,
C01E,misc,,,8.5,11,2018,
C01E,fwd,,,8.5,33.4,2018,
C02W,leaf,pire,,0,0.5,2018,"no tare weight taken, only final biomass"
C02W,leaf,pist,,0,0.2,2018,"no tare weight taken, only final biomass"
C02W,leaf,bepa,,0,0.76,2018,"no tare weight taken, only final biomass"
C02W,leaf,pogr,,0,188,2018,"no tare weight taken, only final biomass"
C02W,leaf,acru,,0,49.2,2018,"no tare weight taken, only final biomass"
C02W,leaf,quru,,0,30.8,2018,"no tare weight taken, only final biomass"
C02W,leaf,fagr,,0,18.5,2018,"no tare weight taken, only final biomass"
C02W,misc,,,0,48.3,2018,"no tare weight taken, only final biomass"
C02E,leaf,bepa,,8.3,10.2,2018,
C02E,leaf,fagr,,15.1,18.9,2018,
C02E,leaf,potr,,8.4,8.7,2018,
C02E,leaf,amel,,8.4,8.5,2018,
C02E,leaf,pist,,8.4,9.6,2018,
C02E,leaf,acpe,,8.4,17.7,2018,
C02E,leaf,pogr,,22,172.5,2018,
C02E,leaf,acru,,22.2,50.3,2018,
C02E,leaf,quru,,22,64,2018,
C02E,leaf,pire,,8.4,14.1,2018,
C02E,misc,,,8.4,34.3,2018,
C02E,fwd,,,8.4,16.3,2018,
C03W,leaf,pogr,,22.1,121.9,2018,
C03W,leaf,acpe,,8.4,10.6,2018,
C03W,leaf,pist,,8.4,35.9,2018,
C03W,leaf,fagr,,22.2,46,2018,
C03W,leaf,pire,,8.4,25.8,2018,
C03W,leaf,quru,,22.1,92.9,2018,
C03W,leaf,acru,,22,44.6,2018,
C03W,leaf,bepa,,8.4,11.2,2018,
C03W,misc,,,8.4,65.6,2018,
C03W,fwd,,,8.4,20.2,2018,
C03E,leaf,pire,,8.4,14.1,2018,
C03E,leaf,pogr,,15.3,38.1,2018,
C03E,leaf,acpe,,8.4,16.7,2018,
C03E,leaf,pist,,8.4,63.6,2018,
C03E,leaf,bepa,,8.4,11.4,2018,
C03E,leaf,amel,,8.4,8.5,2018,
C03E,leaf,quru,,22.2,134,2018,
C03E,leaf,acru,,22,68.3,2018,
C03E,leaf,fagr,,22.1,31.7,2018,
C03E,misc,,,8.4,35.4,2018,
C03E,fwd,,,8.4,17,2018,
C04W,leaf,bepa,,8.4,10.5,2018,
C04W,leaf,quru,,22.1,107.7,2018,
C04W,leaf,quru,,22.2,122.5,2018,
C04W,leaf,fagr,,22.2,47.8,2018,
C04W,leaf,acru,,22.2,58,2018,
C04W,leaf,pogr,,8.4,8.8,2018,
C04W,leaf,pist,,8.4,9.4,2018,
C04W,misc,,,8.4,11,2018,
C04W,fwd,,,8.5,44.8,2018,
C04E,leaf,acpe,,8.4,11.2,2018,
C04E,leaf,bepa,,8.3,9.7,2018,
C04E,leaf,acru,,22.2,74.3,2018,
C04E,leaf,pist,,8.5,10,2018,
C04E,leaf,pogr,,8.4,8.9,2018,
C04E,leaf,fagr,,22,36.6,2018,
C04E,leaf,quru,,22.1,138.3,2018,
C04E,leaf,quru,,22.3,43.3,2018,
C04E,misc,,,8.4,14.1,2018,
C04E,fwd,,,8.4,18.5,2018,
D01W,leaf,pogr,,15.4,19.8,2018,
D01W,leaf,quru,,22.2,117.9,2018,
D01W,leaf,quru,,22.2,107.3,2018,
D01W,leaf,acru,,22.1,29.2,2018,
D01W,leaf,pist,,8.4,31.2,2018,
D01W,fwd,,,8.3,31.7,2018,
D01W,misc,,,8.4,13.5,2018,
D01E,leaf,acru,,15,27.1,2018,
D01E,leaf,pist,,8.4,15,2018,
D01E,leaf,pogr,,15.4,23.8,2018,
D01E,leaf,fagr,,7,8.1,2018,
D01E,leaf,quru,,22.3,129.3,2018,
D01E,leaf,quru,,22,113.5,2018,
D01E,fwd,,,8.5,17.5,2018,
D01E,misc,,,8.4,10,2018,
D02W,leaf,pist,,8.5,17.6,2018,
D02W,leaf,pogr,,15.4,35.9,2018,
D02W,leaf,pire,,8.5,8.6,2018,
D02W,leaf,fagr,,8.5,14.2,2018,
D02W,leaf,acru,,22.1,56,2018,
D02W,leaf,quru,,22.3,108.4,2018,
D02W,leaf,quru,,22.2,94.7,2018,
D02W,fwd,,,8.4,12.9,2018,
D02W,misc,,,8.5,109.6,2018,
D02E,leaf,acpe,,6.9,8.5,2018,
D02E,leaf,pogr,,15.2,32.7,2018,
D02E,leaf,pist,,8.5,19.5,2018,
D02E,leaf,acru,,22.2,58.4,2018,
D02E,leaf,quru,,22.2,138.5,2018,
D02E,leaf,quru,,22.2,71.4,2018,
D02E,leaf,fagr,,8.4,13.1,2018,
D02E,misc,,,7,8.8,2018,
D02E,fwd,,,8.5,19.7,2018,
D03W,leaf,acru,,15.3,30.5,2018,
D03W,leaf,pist,,8.5,13.7,2018,
D03W,leaf,bepa,,6.8,7.1,2018,
D03W,leaf,quru,,22.2,137.1,2018,
D03W,leaf,fagr,,22.2,34.3,2018,
D03W,leaf,pogr,,22.2,92.9,2018,
D03W,misc,,,8.5,11.7,2018,
D03W,fwd,,,8.4,42.7,2018,
D03E,leaf,acru,,15.4,34.3,2018,
D03E,leaf,pire,,8.4,10.7,2018,
D03E,leaf,pogr,,22.2,93.8,2018,
D03E,leaf,fagr,,22.3,31.6,2018,
D03E,leaf,quru,,22.2,128.1,2018,
D03E,leaf,quru,,8.4,17.2,2018,
D03E,misc,,,8.4,10.3,2018,
D03E,fwd,,,8.4,23.2,2018,
D04W,leaf,pist,,8.3,14.6,2018,
D04W,leaf,pist,,8.4,21.9,2018,
D04W,leaf,quru,,15.2,16.8,2018,
D04W,leaf,pire,,6.9,7.2,2018,
D04W,leaf,acru,,22,67.8,2018,
D04W,leaf,pogr,,22.2,84.5,2018,
D04W,misc,,,6.9,11.1,2018,
D04W,fwd,,,8.4,20,2018,
D04E,leaf,acru,,6.9,13.2,2018,
D04E,leaf,quru,,22.2,90.7,2018,
D04E,leaf,quru,,22.2,76.7,2018,
D04E,leaf,fagr,,15.3,16.6,2018,
D04E,leaf,potr,,8.5,10,2018,
D04E,leaf,pist,,8.4,46.8,2018,
D04E,leaf,pogr,,15.2,30.9,2018,
D04E,misc,,,8.5,12.3,2018,
D04E,fwd,,,8.4,42.3,2018,
